"Serie","cvegeo","Entidad_federativa","Periodo","Sexo|Total_Grupo_de_edad|Total","Sexo|Total_Grupo_de_edad|De_15_a_24_años","Sexo|Total_Grupo_de_edad|De_25_a_64_años","Sexo|Total_Grupo_de_edad|De_65_años_y_más","Sexo|Hombres_Grupo_de_edad|Total","Sexo|Hombres_Grupo_de_edad|De_15_a_24_años","Sexo|Hombres_Grupo_de_edad|De_25_a_64_años","Sexo|Hombres_Grupo_de_edad|De_65_años_y_más","Sexo|Mujeres_Grupo_de_edad|Total","Sexo|Mujeres_Grupo_de_edad|De_15_a_24_años","Sexo|Mujeres_Grupo_de_edad|De_25_a_64_años","Sexo|Mujeres_Grupo_de_edad|De_65_años_y_más",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	30,"Veracruz_de_Ignacio_de_la_Llave","2000","1.923236556667","3.26254417251862","1.57911261841253","0.29463444941704","1.65358938082207","2.54953130207601","1.44774684605921","0.3417475029029","2.51693931635701","4.91786758036885","1.85180420202157","0.09523930462609",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	31,"Yucatán","2000","1.52447405368406","2.75258757106942","1.10112244374968","0.27708087738919","1.27947773946675","2.40862021306002","0.89915324745322","0.36394917946003","1.95942641942248","3.31730391600702","1.45866423839931","0",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	32,"Zacatecas","2000","1.80144425163361","3.42999275054372","1.2759102443475","0.22359064584708","1.72440077919878","3.2079958889212","1.32841291708734","0.24583628632176","1.95415951414625","3.80400131542741","1.17331882072064","0.11687207819804",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	00,"Estados_Unidos_Mexicanos","1999","2.4883503543928","4.0850480311248","2.00477505084383","0.65422081082931","1.94960467709183","2.9467549907769","1.67346944386151","0.72324332616074","3.54105295577162","6.13092432006082","2.65788007970795","0.45234702782119",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	01,"Aguascalientes","1999","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	02,"Baja_California","1999","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	03,"Baja_California_Sur","1999","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	04,"Campeche","1999","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	05,"Coahuila_de_Zaragoza","1999","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	06,"Colima","1999","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	07,"Chiapas","1999","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	08,"Chihuahua","1999","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	09,"Ciudad_de_México","1999","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	10,"Durango","1999","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	11,"Guanajuato","1999","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	12,"Guerrero","1999","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	13,"Hidalgo","1999","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	14,"Jalisco","1999","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	15,"México","1999","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	16,"Michoacán_de_Ocampo","1999","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	17,"Morelos","1999","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	18,"Nayarit","1999","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	19,"Nuevo_León","1999","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
